iter	Passed	Remaining
0	1	112
1	2	104
2	3	98
3	3	88
4	4	82
5	5	78
6	6	83
7	7	83
8	7	80
9	8	77
10	9	76
11	10	74
12	10	73
13	11	72
14	12	71
15	13	71
16	14	70
17	15	68
18	15	67
19	16	65
20	17	64
21	17	63
22	18	63
23	20	63
24	20	62
25	21	61
26	22	60
27	23	59
28	23	58
29	24	57
30	25	56
31	26	55
32	26	54
33	27	53
34	28	52
35	28	51
36	29	50
37	30	49
38	31	48
39	31	47
40	32	47
41	32	45
42	33	44
43	34	43
44	35	42
45	35	42
46	36	41
47	37	40
48	38	40
49	39	39
50	39	38
51	40	37
52	41	36
53	42	35
54	42	34
55	43	34
56	44	33
57	44	32
58	45	31
59	46	30
60	46	30
61	47	29
62	48	28
63	49	27
64	49	26
65	50	25
66	51	25
67	51	24
68	52	23
69	53	22
70	53	21
71	54	21
72	55	20
73	56	19
74	57	19
75	57	18
76	58	17
77	59	16
78	60	15
79	60	15
80	61	14
81	62	13
82	62	12
83	63	12
84	64	11
85	64	10
86	65	9
87	66	9
88	67	8
89	67	7
90	68	6
91	69	6
92	70	5
93	70	4
94	71	3
95	71	2
96	72	2
97	73	1
98	74	0
99	75	0
